measure_time,block_height
2024-01-17 15:43:31.03615,30
2024-01-17 15:43:35.09297,30
2024-01-17 15:43:39.13075,30
2024-01-17 15:43:43.16797,30
2024-01-17 15:43:47.21268,30
2024-01-17 15:43:51.26788,30
2024-01-17 15:43:55.31475,30
2024-01-17 15:43:59.36276,30
2024-01-17 15:44:03.40351,30
2024-01-17 15:44:07.43750,30
2024-01-17 15:44:11.48168,30
2024-01-17 15:44:15.52402,30
2024-01-17 15:44:19.56643,30
2024-01-17 15:44:23.60869,30
2024-01-17 15:44:27.63932,30
2024-01-17 15:44:31.69039,30
2024-01-17 15:44:35.73710,30
2024-01-17 15:44:39.78612,30
2024-01-17 15:44:43.82413,30
2024-01-17 15:44:47.86645,30
2024-01-17 15:44:51.91782,30
2024-01-17 15:44:55.95300,30
2024-01-17 15:44:59.99682,30
2024-01-17 15:45:04.04915,30
2024-01-17 15:45:08.08770,30
2024-01-17 15:45:12.13336,30
2024-01-17 15:45:16.17605,30
2024-01-17 15:45:20.22336,30
2024-01-17 15:45:24.27105,30
2024-01-17 15:45:28.31463,30
2024-01-17 15:45:32.36208,30
2024-01-17 15:45:36.40484,30
2024-01-17 15:45:40.47139,30
2024-01-17 15:45:44.51653,30
2024-01-17 15:45:48.55747,30
2024-01-17 15:45:52.59855,30
2024-01-17 15:45:56.63680,30
2024-01-17 15:46:00.68025,30
2024-01-17 15:46:04.72075,30
2024-01-17 15:46:08.76642,30
2024-01-17 15:46:12.80950,30
2024-01-17 15:46:16.85143,30
2024-01-17 15:46:20.90555,30
2024-01-17 15:46:24.95157,30
2024-01-17 15:46:29.00668,30
2024-01-17 15:46:33.04831,30
2024-01-17 15:46:37.08726,30
2024-01-17 15:46:41.12691,30
2024-01-17 15:46:45.16162,30
2024-01-17 15:46:49.20250,30
2024-01-17 15:46:53.24762,30
2024-01-17 15:46:57.28265,30
2024-01-17 15:47:01.36277,30
2024-01-17 15:47:05.41334,30
2024-01-17 15:47:09.45309,30
2024-01-17 15:47:13.49532,30
2024-01-17 15:47:17.54340,30
2024-01-17 15:47:21.66106,30
2024-01-17 15:47:25.68998,30
2024-01-17 15:47:29.75870,30
2024-01-17 15:47:33.80211,30
2024-01-17 15:47:37.84730,30
2024-01-17 15:47:41.89159,30
2024-01-17 15:47:45.93758,30
2024-01-17 15:47:49.97642,30
2024-01-17 15:47:54.02340,30
2024-01-17 15:47:58.07307,30
2024-01-17 15:48:02.11718,30
2024-01-17 15:48:06.18356,30
2024-01-17 15:48:10.24006,30
2024-01-17 15:48:14.28021,30
2024-01-17 15:48:18.31748,30
2024-01-17 15:48:22.36423,30
2024-01-17 15:48:26.40615,30
2024-01-17 15:48:30.45148,30
2024-01-17 15:48:34.49799,30
2024-01-17 15:48:38.53722,30
2024-01-17 15:48:42.57977,30
2024-01-17 15:48:46.61935,30
2024-01-17 15:48:50.66541,30
2024-01-17 15:48:54.69920,30
2024-01-17 15:48:58.74635,30
2024-01-17 15:49:02.79176,30
2024-01-17 15:49:06.83682,30
2024-01-17 15:49:10.87526,30
2024-01-17 15:49:14.92144,30
2024-01-17 15:49:18.96138,30
2024-01-17 15:49:23.00911,30
2024-01-17 15:49:27.04980,30
2024-01-17 15:49:31.09176,30
2024-01-17 15:49:35.13351,30
2024-01-17 15:49:39.17949,30
2024-01-17 15:49:43.22857,30
2024-01-17 15:49:47.27647,30
2024-01-17 15:49:51.31482,30
2024-01-17 15:49:55.36265,30
2024-01-17 15:49:59.41330,30
2024-01-17 15:50:03.45994,30
2024-01-17 15:50:07.50763,30
2024-01-17 15:50:11.56196,30
2024-01-17 15:50:15.60216,30
2024-01-17 15:50:19.64686,30
2024-01-17 15:50:23.69928,30
2024-01-17 15:50:27.74246,30
2024-01-17 15:50:31.79040,30
2024-01-17 15:50:35.83781,30
2024-01-17 15:50:39.87955,30
2024-01-17 15:50:43.92990,30
2024-01-17 15:50:47.98032,30
2024-01-17 15:50:52.02433,30
2024-01-17 15:50:56.07097,30
2024-01-17 15:51:00.11353,30
2024-01-17 15:51:04.16208,30
2024-01-17 15:51:08.20597,30
2024-01-17 15:51:12.24663,30
2024-01-17 15:51:16.29682,30
2024-01-17 15:51:20.33858,30
2024-01-17 15:51:24.37493,30
2024-01-17 15:51:28.63154,30
2024-01-17 15:51:33.91396,30
2024-01-17 15:51:34.45740,30
2024-01-17 15:51:38.89568,30
2024-01-17 15:51:42.95500,30
2024-01-17 15:51:46.98303,30
2024-01-17 15:51:51.01784,30
2024-01-17 15:51:55.10354,30
2024-01-17 15:51:59.14986,30
2024-01-17 15:52:03.19683,30
2024-01-17 15:52:07.23842,30
2024-01-17 15:52:11.28435,30
2024-01-17 15:52:15.32762,30
2024-01-17 15:52:19.36967,30
2024-01-17 15:52:23.41158,30
2024-01-17 15:52:27.45049,30
2024-01-17 15:52:31.50182,30
2024-01-17 15:52:35.54990,30
2024-01-17 15:52:39.58504,30
2024-01-17 15:52:43.62339,30
