measure_time,action_type,message_type,message_size
2024-01-17 13:05:50.24205,Sent,P2P,93
2024-01-17 13:05:50.24233,Received,P2P,93
2024-01-17 13:05:50.26431,Received,P2P,93
2024-01-17 13:05:50.26491,Received,P2P,93
2024-01-17 13:05:50.38051,Sent,P2P,93
2024-01-17 13:05:50.38099,Sent,P2P,93
2024-01-17 13:05:50.38123,Sent,P2P,93
2024-01-17 13:05:50.38226,Sent,P2P,990
2024-01-17 13:05:50.38250,Sent,P2P,990
2024-01-17 13:05:50.38267,Sent,P2P,990
2024-01-17 13:05:50.38505,Received,P2P,206
2024-01-17 13:05:50.38589,Received,P2P,206
2024-01-17 13:05:50.38604,Received,P2P,206
2024-01-17 13:05:50.38690,Received,P2P,93
2024-01-17 13:05:50.38717,Received,P2P,93
2024-01-17 13:05:50.38782,Received,P2P,93
2024-01-17 13:05:50.38799,Sent,P2P,206
2024-01-17 13:05:50.38819,Sent,P2P,206
2024-01-17 13:05:50.38834,Sent,P2P,206
2024-01-17 13:05:50.75461,Received,Channel,57
2024-01-17 13:05:50.75573,Send,Channel,58
2024-01-17 13:05:51.24640,Received,P2P,93
2024-01-17 13:05:51.24712,Sent,P2P,93
2024-01-17 13:05:51.24725,Sent,P2P,93
2024-01-17 13:05:51.24750,Sent,P2P,93
2024-01-17 13:05:51.26817,Received,P2P,93
2024-01-17 13:05:51.26873,Received,P2P,93
2024-01-17 13:05:51.39290,Received,P2P,990
2024-01-17 13:05:51.39492,Sent,P2P,206
2024-01-17 13:05:51.39527,Sent,P2P,206
2024-01-17 13:05:51.39553,Sent,P2P,206
2024-01-17 13:05:51.39641,Received,P2P,206
2024-01-17 13:05:51.39687,Received,P2P,206
2024-01-17 13:05:51.40042,Received,P2P,206
2024-01-17 13:05:52.25172,Received,P2P,93
2024-01-17 13:05:52.25186,Sent,P2P,93
2024-01-17 13:05:52.25204,Sent,P2P,93
2024-01-17 13:05:52.25222,Sent,P2P,93
2024-01-17 13:05:52.27415,Received,P2P,93
2024-01-17 13:05:52.27452,Received,P2P,93
2024-01-17 13:05:52.40158,Received,P2P,990
2024-01-17 13:05:52.40259,Received,P2P,206
2024-01-17 13:05:52.40279,Sent,P2P,206
2024-01-17 13:05:52.40307,Sent,P2P,206
2024-01-17 13:05:52.40336,Sent,P2P,206
2024-01-17 13:05:52.40546,Received,P2P,206
2024-01-17 13:05:52.40711,Received,P2P,206
2024-01-17 13:05:52.73558,Received,Channel,57
2024-01-17 13:05:52.73641,Send,Channel,58
2024-01-17 13:05:53.25438,Received,P2P,93
2024-01-17 13:05:53.25746,Sent,P2P,93
2024-01-17 13:05:53.25809,Sent,P2P,93
2024-01-17 13:05:53.25835,Sent,P2P,93
2024-01-17 13:05:53.27830,Received,P2P,93
2024-01-17 13:05:53.27863,Received,P2P,93
2024-01-17 13:05:53.41317,Received,P2P,990
2024-01-17 13:05:53.41517,Sent,P2P,206
2024-01-17 13:05:53.41549,Sent,P2P,206
2024-01-17 13:05:53.41571,Sent,P2P,206
2024-01-17 13:05:53.41707,Received,P2P,206
2024-01-17 13:05:53.41744,Received,P2P,206
2024-01-17 13:05:53.42150,Received,P2P,206
2024-01-17 13:05:54.25885,Received,P2P,93
2024-01-17 13:05:54.26234,Sent,P2P,93
2024-01-17 13:05:54.26263,Sent,P2P,93
2024-01-17 13:05:54.26281,Sent,P2P,93
2024-01-17 13:05:54.28250,Received,P2P,93
2024-01-17 13:05:54.28451,Received,P2P,93
2024-01-17 13:05:54.42378,Sent,P2P,990
2024-01-17 13:05:54.42404,Sent,P2P,990
2024-01-17 13:05:54.42426,Sent,P2P,990
2024-01-17 13:05:54.42815,Received,P2P,206
2024-01-17 13:05:54.42921,Received,P2P,206
2024-01-17 13:05:54.42947,Received,P2P,206
2024-01-17 13:05:54.43088,Sent,P2P,206
2024-01-17 13:05:54.43106,Sent,P2P,206
2024-01-17 13:05:54.43120,Sent,P2P,206
2024-01-17 13:05:54.73048,Received,Channel,57
2024-01-17 13:05:54.73125,Send,Channel,58
2024-01-17 13:05:54.95998,Sent,P2P,17
2024-01-17 13:05:54.96098,Received,P2P,17
2024-01-17 13:05:54.96399,Received,P2P,17
2024-01-17 13:05:54.97062,Sent,P2P,17
2024-01-17 13:05:54.97124,Sent,P2P,17
2024-01-17 13:05:54.97185,Received,P2P,17
2024-01-17 13:05:55.26393,Received,P2P,93
2024-01-17 13:05:55.26657,Sent,P2P,93
2024-01-17 13:05:55.26686,Sent,P2P,93
2024-01-17 13:05:55.26698,Sent,P2P,93
2024-01-17 13:05:55.28787,Received,P2P,93
2024-01-17 13:05:55.28813,Received,P2P,93
2024-01-17 13:05:55.43488,Received,P2P,93
2024-01-17 13:05:55.43511,Received,P2P,990
2024-01-17 13:05:55.43588,Sent,P2P,93
2024-01-17 13:05:55.43594,Sent,P2P,93
2024-01-17 13:05:55.43600,Sent,P2P,93
2024-01-17 13:05:55.43613,Received,P2P,206
2024-01-17 13:05:55.43647,Received,P2P,93
2024-01-17 13:05:55.43649,Sent,P2P,206
2024-01-17 13:05:55.43657,Sent,P2P,206
2024-01-17 13:05:55.43662,Sent,P2P,206
2024-01-17 13:05:55.43806,Received,P2P,206
2024-01-17 13:05:55.43871,Received,P2P,206
2024-01-17 13:05:55.43878,Received,P2P,93
2024-01-17 13:05:56.26873,Received,P2P,93
2024-01-17 13:05:56.27061,Sent,P2P,93
2024-01-17 13:05:56.27106,Sent,P2P,93
2024-01-17 13:05:56.27137,Sent,P2P,93
2024-01-17 13:05:56.29069,Received,P2P,93
2024-01-17 13:05:56.29273,Received,P2P,93
2024-01-17 13:05:56.44198,Received,P2P,990
2024-01-17 13:05:56.44538,Sent,P2P,206
2024-01-17 13:05:56.44550,Sent,P2P,206
2024-01-17 13:05:56.44584,Sent,P2P,206
2024-01-17 13:05:56.44619,Received,P2P,206
2024-01-17 13:05:56.44641,Received,P2P,206
2024-01-17 13:05:56.45365,Received,P2P,206
2024-01-17 13:05:56.73366,Received,Channel,57
2024-01-17 13:05:56.73418,Send,Channel,58
2024-01-17 13:05:57.27496,Received,P2P,93
2024-01-17 13:05:57.27674,Sent,P2P,93
2024-01-17 13:05:57.27691,Sent,P2P,93
2024-01-17 13:05:57.27698,Sent,P2P,93
2024-01-17 13:05:57.29574,Received,P2P,93
2024-01-17 13:05:57.29668,Received,P2P,93
2024-01-17 13:05:57.45747,Received,P2P,990
2024-01-17 13:05:57.45833,Sent,P2P,206
2024-01-17 13:05:57.45845,Sent,P2P,206
2024-01-17 13:05:57.45854,Sent,P2P,206
2024-01-17 13:05:57.45886,Received,P2P,206
2024-01-17 13:05:57.45916,Received,P2P,206
2024-01-17 13:05:57.46281,Received,P2P,206
2024-01-17 13:05:58.27938,Received,P2P,93
2024-01-17 13:05:58.28182,Sent,P2P,93
2024-01-17 13:05:58.28381,Sent,P2P,93
2024-01-17 13:05:58.28484,Sent,P2P,93
2024-01-17 13:05:58.29956,Received,P2P,93
2024-01-17 13:05:58.31915,Received,P2P,93
2024-01-17 13:05:58.51446,Sent,P2P,990
2024-01-17 13:05:58.51459,Sent,P2P,990
2024-01-17 13:05:58.51465,Sent,P2P,990
2024-01-17 13:05:58.51484,Sent,P2P,206
2024-01-17 13:05:58.51491,Sent,P2P,206
2024-01-17 13:05:58.51497,Sent,P2P,206
2024-01-17 13:05:58.51564,Received,P2P,206
2024-01-17 13:05:58.52476,Received,P2P,206
2024-01-17 13:05:58.57280,Received,P2P,206
2024-01-17 13:05:58.73351,Received,Channel,57
2024-01-17 13:05:58.73465,Send,Channel,58
2024-01-17 13:05:59.28490,Received,P2P,93
2024-01-17 13:05:59.29004,Sent,P2P,93
2024-01-17 13:05:59.29032,Sent,P2P,93
2024-01-17 13:05:59.29064,Sent,P2P,93
2024-01-17 13:05:59.30500,Received,P2P,93
2024-01-17 13:05:59.32098,Received,P2P,93
2024-01-17 13:05:59.57413,Received,P2P,990
2024-01-17 13:05:59.57595,Sent,P2P,206
2024-01-17 13:05:59.57624,Sent,P2P,206
2024-01-17 13:05:59.57651,Sent,P2P,206
2024-01-17 13:05:59.57767,Received,P2P,206
2024-01-17 13:05:59.57797,Received,P2P,206
2024-01-17 13:05:59.58114,Received,P2P,206
2024-01-17 13:05:59.96148,Sent,P2P,17
2024-01-17 13:05:59.96221,Received,P2P,17
2024-01-17 13:05:59.96505,Received,P2P,17
2024-01-17 13:05:59.97088,Received,P2P,17
2024-01-17 13:05:59.97311,Sent,P2P,17
2024-01-17 13:05:59.97361,Sent,P2P,17
2024-01-17 13:06:00.29049,Received,P2P,93
2024-01-17 13:06:00.29444,Sent,P2P,93
2024-01-17 13:06:00.29469,Sent,P2P,93
2024-01-17 13:06:00.29489,Sent,P2P,93
2024-01-17 13:06:00.31045,Received,P2P,93
2024-01-17 13:06:00.32443,Received,P2P,93
2024-01-17 13:06:00.58252,Received,P2P,93
2024-01-17 13:06:00.58307,Received,P2P,990
2024-01-17 13:06:00.58427,Sent,P2P,206
2024-01-17 13:06:00.58438,Sent,P2P,206
2024-01-17 13:06:00.58486,Sent,P2P,206
2024-01-17 13:06:00.58551,Received,P2P,206
2024-01-17 13:06:00.58564,Received,P2P,206
2024-01-17 13:06:00.58575,Received,P2P,206
2024-01-17 13:06:00.58632,Sent,P2P,93
2024-01-17 13:06:00.58645,Sent,P2P,93
2024-01-17 13:06:00.58658,Sent,P2P,93
2024-01-17 13:06:00.58678,Received,P2P,93
2024-01-17 13:06:00.58690,Received,P2P,93
2024-01-17 13:06:00.73373,Received,Channel,57
2024-01-17 13:06:00.73421,Send,Channel,58
2024-01-17 13:06:01.29494,Received,P2P,93
2024-01-17 13:06:01.29880,Sent,P2P,93
2024-01-17 13:06:01.29900,Sent,P2P,93
2024-01-17 13:06:01.29911,Sent,P2P,93
2024-01-17 13:06:01.31592,Received,P2P,93
2024-01-17 13:06:01.32875,Received,P2P,93
2024-01-17 13:06:01.59716,Received,P2P,990
2024-01-17 13:06:01.62883,Sent,P2P,206
2024-01-17 13:06:01.62904,Sent,P2P,206
2024-01-17 13:06:01.62954,Received,P2P,206
2024-01-17 13:06:01.62972,Sent,P2P,206
2024-01-17 13:06:01.63041,Received,P2P,206
2024-01-17 13:06:01.63185,Received,P2P,206
2024-01-17 13:06:02.30073,Received,P2P,93
2024-01-17 13:06:02.30411,Sent,P2P,93
2024-01-17 13:06:02.30450,Sent,P2P,93
2024-01-17 13:06:02.30475,Sent,P2P,93
2024-01-17 13:06:02.32042,Received,P2P,93
2024-01-17 13:06:02.33400,Received,P2P,93
2024-01-17 13:06:02.63300,Sent,P2P,990
2024-01-17 13:06:02.63318,Sent,P2P,990
2024-01-17 13:06:02.63345,Sent,P2P,990
2024-01-17 13:06:02.63584,Received,P2P,206
2024-01-17 13:06:02.63602,Received,P2P,206
2024-01-17 13:06:02.63613,Received,P2P,206
2024-01-17 13:06:02.63801,Sent,P2P,206
2024-01-17 13:06:02.63815,Sent,P2P,206
2024-01-17 13:06:02.63859,Sent,P2P,206
2024-01-17 13:06:02.73442,Received,Channel,57
2024-01-17 13:06:02.73479,Send,Channel,58
2024-01-17 13:06:03.30545,Received,P2P,93
2024-01-17 13:06:03.30955,Sent,P2P,93
2024-01-17 13:06:03.30988,Sent,P2P,93
2024-01-17 13:06:03.31009,Sent,P2P,93
2024-01-17 13:06:03.32469,Received,P2P,93
2024-01-17 13:06:03.33923,Received,P2P,93
